Année;Catégorie;Nom;Lauréat;Sexe;Pour
2012;Meilleure Musique Originale;-M-, Patrice Renson;Non;M;UN MONSTRE À PARIS
2010;Meilleur Court Métrage;¿DÓNDE ESTÁ KIM BASINGER?;Non;M;réalisé par Edouard Deluc
2000;Meilleur Court Métrage;CAMPING SAUVAGE;Non;M;réalisé par Abdel Kader Aoun, Giordano Gederlini
2003;Meilleur Court Métrage;CE VIEUX RÊVE QUI BOUGE;Non;M;réalisé par Alain Guiraudie
2010;Meilleur Court Métrage;LES WILLIAMS;Non;M;réalisé par Alban Mench
1999;Meilleur Court Métrage;TUEURS DE PETITS POISSONS;Non;M;réalisé par Alexandre Gavras
1994;Meilleur Court Métrage;EX MEMORIAM;Non;M;réalisé par Beriou
1992;Meilleur Court Métrage;25 DÉCEMBRE 1958, 10H36;Oui;F;réalisé par Diane Bertrand
1992;Meilleur Court Métrage;HAUT PAYS DES NEIGES;Non;M;réalisé par Bernard Palacios
1993;Meilleur Court Métrage;VERSAILLES, RIVE GAUCHE;Oui;M;réalisé par Bruno Podalydès
1995;Meilleur Film Étranger;4 MARIAGES ET UN ENTERREMENT;Oui;M;réalisé par Mike Newell
1994;Meilleur Court Métrage;EMPREINTES;Non;F;réalisé par Camille Guichard
2000;Meilleur Court Métrage;RUE BLEUE;Non;M;réalisé par Chad Chenouga
2010;Meilleur Court Métrage;SÉANCE FAMILIALE;Non;M;réalisé par Cheng-Chui Kuo
2010;Meilleur Court Métrage;C'EST GRATUIT POUR LES FILLES;Oui;F;réalisé par Claire Burger, Marie Amachoukeli
2007;Meilleur Court Métrage;AÏSSA;Non;M;réalisé par Clément Tréhin-Lalanne
1992;Meilleur Court Métrage;LA SAGA DES GLAISES;Non;M;réalisé par David Ferre, Olivier Thery Lapiney
1998;Meilleur Court Métrage;DES MAJORETTES DANS L'ESPACE;Oui;M;réalisé par David Fourier
2006;Meilleur Court Métrage;SOUS LE BLEU;Non;M;réalisé par David Oelhoffen
2000;Meilleur Court Métrage;SALE BATTARS;Oui;F;réalisé par Delphine Gleize
1995;Meilleur Court Métrage;LA VIS;Oui;M;réalisé par Didier Flamand
2008;Meilleur Réalisateur;Abdellatif Kechiche;Oui;M;LA GRAINE ET LE MULET
2005;Meilleur Réalisateur;Abdellatif Kechiche;Oui;M;L'ESQUIVE
2008;Meilleur Court Métrage;DEWENETI;Non;F;réalisé par Dyana Gaye
2008;Meilleur Scénario Original;Abdellatif Kechiche;Oui;M;LA GRAINE ET LE MULET
2003;Meilleur Court Métrage;CANDIDATURE;Non;M;réalisé par Emmanuel Bourdieu
1997;Meilleur Court Métrage;MME JACQUES SUR LA CROISETTE;Oui;M;réalisé par Emmanuel Finkiel
2015;Meilleur Réalisateur;Abderrahmane Sissako;Oui;M;TIMBUKTU
2001;Meilleur Court Métrage;UN PETIT AIR DE FÊTE;Oui;M;réalisé par Eric Guirado
2004;Meilleur Court Métrage;PACOTILLE;Non;M;réalisé par Éric Jameux
1998;Meilleur Court Métrage;SEULE;Non;M;réalisé par Erick Zonca
2002;Meilleur Court Métrage;AU PREMIER DIMANCHE D'AOÛT;Oui;M;réalisé par Florence Miailhe
1993;Meilleur Court Métrage;HAMMAM;Non;F;réalisé par Florence Miailhe
2014;Meilleur Espoir Féminin;Adèle Exarchopoulos;Oui;F;LA VIE D'ADÈLE CHAPITRES 1 & 2
2010;Meilleur Court Métrage;LA RAISON DE L'AUTRE;Non;M;réalisé par Foued Mansour
2015;Meilleure Actrice;Adèle Haenel;Oui;F;LES COMBATTANTS
2014;Meilleure Actrice dans un Second Rôle;Adèle Haenel;Oui;F;SUZANNE
1997;Meilleur Court Métrage;UNE ROBE D'ÉTÉ;Non;M;réalisé par François Ozon
2008;Meilleur Court Métrage;RACHEL;Non;M;réalisé par Frédéric Mermoud
2003;Meilleur Acteur;Adrien Brody;Oui;M;LE PIANISTE
2002;Meilleur Court Métrage;DES MORCEAUX DE MA FEMME;Non;M;réalisé par Frédéric Pelle
2004;Meilleur Court Métrage;LA CHATTE ANDALOUSE;Non;M;réalisé par Gérald Hustache-Mathieu
2003;Meilleur Court Métrage;PEAU DE VACHE;Oui;M;réalisé par Gérald Hustache-Mathieu
2005;Meilleur Court Métrage;LA MÉTHODE BOURCHNIKOV;Non;M;réalisé par Grégoire Sivan
2008;Meilleur Court Métrage;PREMIER VOYAGE;Non;M;réalisé par Grégoire Sivan
2000;Meilleur Court Métrage;ACIDE ANIMÉ;Non;M;réalisé par Guillaume Bréaud
