prénom;nom;Nom complet;pays;url;music short program;music free skating
Kailani;CRAINE;Kailani CRAINE;AUS;http://www.isuresults.com/bios/isufs00014029.htm;Dream a Little Dream of Me performed by Ella Fitzgerald One Day (Swingrowers Remix) performed by Caro Emerald;Moulin Rouge (soundtrack)
Loena;HENDRICKX;Loena HENDRICKX;BEL;http://www.isuresults.com/bios/isufs00014747.htm;Frozen performed by Madonna;Differente by Gotan Project
Isadora;WILLIAMS;Isadora WILLIAMS;BRA;http://www.isuresults.com/bios/isufs00012577.htm;Hallelujah performed by K. D. Lang;"Nyah (from ""Mission Impossible 2"" soundtrack) by Hans Zimmer"
Larkyn;AUSTMAN;Larkyn AUSTMAN;CAN;http://www.isuresults.com/bios/isufs00034400.htm;Mein Herr (from Cabaret);Les Miserables by Claude-Michel Schoenberg
Gabrielle;DALEMAN;Gabrielle DALEMAN;CAN;http://www.isuresults.com/bios/isufs00054166.htm;"Habanera (from ""Carmen"") by George Bizet";Rhapsody in Blue by Georges Gershwin
Kaetlyn;OSMOND;Kaetlyn OSMOND;CAN;http://www.isuresults.com/bios/isufs00012655.htm;Sous le ciel de Paris by Hubert Giraud performed by Edith Piaf Milord by Marguerite Monnot performed by Edith Piaf;"Andante Allegro (from ""Swan Lake"") by Petr I. TchaikovskiNo. 24 Scene: Allegro (from ""Swan Lake"") by Petr I. Tchaikovski Stumbled Beginnings (from ""Black Swan"") by Clint Mansell Nina's Dream (from ""Black Swan"") by Clint Mansell"
Xiangning;LI;Xiangning LI;CHN;http://www.isuresults.com/bios/isufs00014328.htm;Nuovo Cinema Paradiso;Raymonda by Alexander Glazunov
Emmi;PELTONEN;Emmi PELTONEN;FIN;http://www.isuresults.com/bios/isufs00014671.htm;Tango Jalousie by Jacob Gade;Papa Can You Hear Me (soundtrack) performed by Barbara Streisand
Mae Berenice;MEITE;Mae Berenice MEITE;FRA;http://www.isuresults.com/bios/isufs00010706.htm;Halo by Beyonce, cover version by Jasmin Thompson Run the World (Girls) by Beyonce;Les Nocturnes de Chopin Happy by C2C
Nicole;SCHOTT;Nicole SCHOTT;GER;http://www.isuresults.com/bios/isufs00011603.htm;Nella Fantasia by Ennio Morricone performed by Jackie Evancho;Schindler's List (soundtrack) by John Williams, performed by Itzhak Perlman
Ivett;TOTH;Ivett TOTH;HUN;http://www.isuresults.com/bios/isufs00054361.htm;Back in Black performed by AC DC Thunderstruck performed by AC DC;"Entrance and Habanera from ""Carmen"" by Rodion Shchedrin Adagio by Rodion Shchedrin Entrance and Habanera from ""Carmen"" by Rodion Shchedrin Les voici! Voici la quadrille by George Pretre"
Carolina;KOSTNER;Carolina KOSTNER;ITA;http://www.isuresults.com/bios/isufs00004864.htm;Ne me quitte pas by Jacques Brel, performed by Celine Dion;L'apres-midi d'un faune by Claude Debussy
Giada;RUSSO;Giada RUSSO;ITA;http://www.isuresults.com/bios/isufs00011694.htm;Eyes Wide Shut (soundtrack);Parla Con Lei (soundtrack)
Satoko;MIYAHARA;Satoko MIYAHARA;JPN;http://www.isuresults.com/bios/isufs00012461.htm;Memoirs of a Geisha (soundtrack) by John Williams;Madame Butterfly Act 3 by Giacomo Puccini Goro's Entrance (Madame Butterfly Act 2) by Giacomo Puccini Butterfly Bids Her Child Farewell (Madame Butterfly Act 2) by Giacomo PucciniPrelude
Kaori;SAKAMOTO;Kaori SAKAMOTO;JPN;http://www.isuresults.com/bios/isufs00014151.htm;Moonlight Sonata by Ludwig van Beethoven;Amelie (soundtrack) by Yann Tiersen
Aiza;MAMBEKOVA;Aiza MAMBEKOVA;KAZ;http://www.isuresults.com/bios/isufs00054345.htm;Amanama by DJ Antoine ft. Timati Hourshaker Radio Edit;Ker Oglu by Daulet Kerei
Elizabet;TURSYNBAEVA;Elizabet TURSYNBAEVA;KAZ;http://www.isuresults.com/bios/isufs00034443.htm;Carmen Fantasie by Georges Bizet performed by David Garrett;The Prayer performed by Celine Dion, Andrea Boccelli
Dabin;CHOI;Dabin CHOI;KOR;http://www.isuresults.com/bios/isufs00014382.htm;Papa Can You Hear Me;Doctor Zhivago (soundtrack) by Maurice Jarre
Hanul;KIM;Hanul KIM;KOR;http://www.isuresults.com/bios/isufs00035087.htm;The Piano (soundtrack);Mamma Mia (soundtrack)
Diana;NIKITINA;Diana NIKITINA;LAT;http://www.isuresults.com/bios/isufs00054521.htm;Soldier Of Love by Sade;"Nocturne (from ""Lady Caliph"") by Ennio Morricone Trooping With Crows (from ""Romeo and Juliet"") by Abel Korzeniowski"
Evgenia;MEDVEDEVA;Evgenia MEDVEDEVA;OAR;http://www.isuresults.com/bios/isufs00014068.htm;Nocturne by Frederic Chopin;Anna Karenina (soundtrack) by Dario Marianelli
Maria;SOTSKOVA;Maria SOTSKOVA;OAR;http://www.isuresults.com/bios/isufs00034440.htm;Swan Lake by Petr I. Tchaikovski;Claire de Lune by Claude Debussy
